beer_id,brewery_id
294,1074
296,677
297,677
298,1004
299,1004
300,1004
301,1004
302,707
303,707
304,707
305,707
306,707
307,707
308,523
309,523
310,523
311,523
312,523
313,133
315,133
316,133
317,133
318,133
319,133
321,515
322,515
323,515
324,515
325,515
326,515
327,515
332,1072
333,236
334,236
335,935
336,935
337,161
339,795
340,795
341,795
342,795
343,795
344,795
345,161
347,195
348,187
349,187
350,272
351,272
352,175
353,272
355,278
356,284
357,284
358,269
360,7
361,167
362,236
363,167
364,184
365,322
366,110
367,110
368,110
369,903
370,431
371,296
372,586
374,935
375,757
376,757
377,1115
378,1385
379,1385
380,128
381,128
382,160
383,39
384,21
385,363
386,363
387,363
388,300
390,238
391,626
392,1185
393,425
394,200
396,1115
397,609
398,1177
401,905
402,249
403,905
404,1142
405,1142
406,1054
407,586
408,723
409,723
410,919
411,441
412,130
413,1192
414,604
415,623
417,425
418,425
419,604
420,604
421,98
422,1315
423,441
424,844
425,844
426,742
427,363
428,562
430,127
431,905
432,367
433,70
434,70
435,70
437,1264
438,1264
439,905
440,296
441,195
442,175
443,168
445,1375
447,727
448,727
449,638
450,1043
451,638
452,1185
453,1043
454,744
455,744
457,626
459,650
460,743
461,1043
462,743
463,1142
464,222
465,14
466,14
467,14
468,14
469,14
470,14
472,650
474,70
475,296
476,395
477,1056
478,1056
479,70
483,1375
484,1204
485,7
486,277
487,262
489,590
491,590
493,511
494,511
496,594
497,534
498,230
501,225
502,225
503,225
505,1120
506,1120
508,74
509,74
511,30
512,30
513,204
515,204
516,204
517,204
518,1146
519,1146
520,1146
521,1146
524,205
525,671
526,727
527,189
528,192
533,192
534,501
535,44
536,44
538,1198
539,1198
540,1198
541,217
543,233
544,233
545,233
546,233
547,233
549,877
551,1116
552,1116
553,1116
554,1116
556,569
557,569
558,569
559,569
560,877
564,1344
565,1344
566,1344
567,1344
568,213
573,479
575,479
577,568
578,568
579,568
580,451
582,1083
583,1083
584,1083
585,1083
586,1083
589,230
590,230
591,230
592,230
593,905
594,285
596,357
597,357
598,357
599,357
600,357
601,119
602,119
604,119
605,119
606,119
607,120
608,120
609,120
610,120
611,120
612,120
613,120
614,1085
615,1085
616,1085
617,1085
618,1034
619,788
620,1237
621,1237
622,1237
623,1237
624,1237
625,1237
626,1381
627,1381
628,453
629,453
630,453
631,453
632,453
633,453
634,828
635,828
636,873
637,873
638,873
639,873
640,598
641,598
642,598
643,598
644,598
645,457
646,457
647,457
648,457
649,457
650,457
651,1307
653,1178
654,995
655,935
656,590
658,590
660,647
661,647
662,647
663,236
664,829
665,829
666,829
667,829
668,829
669,829
671,829
672,829
673,123
674,123
675,123
676,123
677,123
678,123
679,123
680,123
681,123
682,123
683,496
684,496
685,497
687,497
688,496
690,496
691,496
692,496
693,496
694,496
695,496
697,984
698,984
699,984
700,984
701,984
702,984
703,1296
705,1296
707,1296
708,1296
709,1296
710,1296
711,842
712,842
714,842
715,842
716,842
717,842
718,842
719,842
720,445
721,445
722,445
723,445
724,445
726,445
727,445
729,445
730,475
731,1124
732,1124
733,1124
734,1124
735,1124
736,1124
737,1124
738,1124
739,1151
740,1151
741,1151
742,1151
743,1151
744,1151
745,1151
746,1151
747,1151
748,504
749,504
750,504
751,504
752,504
753,504
754,504
755,504
756,504
757,504
758,526
759,526
760,526
761,526
762,526
763,526
764,526
765,526
766,526
767,526
768,526
769,1030
770,1030
771,1030
772,1030
773,1030
774,1030
775,1030
776,704
777,704
778,704
779,704
780,704
781,494
782,494
783,494
784,494
785,494
786,494
787,966
788,966
789,966
790,966
791,966
792,966
793,966
794,966
795,966
796,770
797,1185
798,526
799,160
800,526
801,103
803,641
805,432
806,432
807,641
808,1177
809,1072
810,622
811,21
812,709
813,540
814,137
815,137
816,270
817,174
818,459
820,447
821,1204
822,188
824,623
825,174
827,221
829,368
830,562
831,447
832,919
833,604
836,301
837,907
838,1263
839,190
840,196
841,202
843,590
844,590
845,590
847,590
848,590
850,590
851,169
853,7
854,271
855,671
856,1056
857,277
858,359
859,370
860,1003
861,717
862,717
863,717
864,1303
865,1303
866,1303
867,742
868,1204
869,622
870,622
872,431
873,432
874,432
875,432
876,1307
877,269
878,28
879,935
880,1143
882,189
883,175
884,1143
885,903
886,1378
887,623
888,109
889,195
890,194
